,power_kW
0,150.4588641863672
1,146.7168913972812
2,142.6460533070034
3,133.67246198545456
4,122.19730976940696
5,111.29141776527473
6,107.93590798307774
7,98.08881540942454
8,93.96185129115854
9,87.76238851548514
10,86.39001137731482
11,85.95720567024412
12,77.95880807659935
13,75.69474046296297
14,74.73742096380472
15,72.64787000753365
16,70.64547766746634
17,70.10286488758418
18,65.72518009486532
19,63.862624783417495
20,65.05135233813128
21,62.55108042209594
22,62.12897773691077
23,61.13518294313973
24,58.27931772428451
25,59.91789808834176
26,59.65832001174242
27,60.105807858964646
28,58.0015324486111
29,57.98145059675926
30,57.410315588341746
31,56.94193200879629
32,56.80881356287878
33,56.80796213505891
34,56.554665886111096
35,56.92692399532827
36,56.38402029478114
37,54.98070102605218
38,54.01158262117003
39,55.330969583501684
40,55.157886539520206
41,55.004312642213804
42,55.004312642213804
43,54.270078927988216
44,54.270078927988216
45,53.16876516430977
46,53.16876516430977
47,53.16876516430977
48,53.597265325294615
49,53.035857488594274
50,53.21472597975589
51,51.82917273901515
52,50.85623163421717
53,50.85623163421717
54,50.85623163421717
55,50.85623163421717
56,50.85623163421717
57,52.22076952563131
58,51.91910787159091
59,48.732753231439396
60,46.87195762748316
61,46.91249193619529
62,47.04150888695286
63,46.54339935833333
64,46.54339935833333
65,44.756282178030304
66,44.756282178030304
67,44.756282178030304
68,41.77368357954546
69,41.77368357954546
70,41.77368357954546
71,40.20899230639731
72,40.16845799768519
73,40.17009776094277
74,39.27451284511785
75,39.30793444234007
76,39.77637385627105
77,39.77637385627105
78,39.80013477798822
79,39.92800338068182
80,40.14607676031145
81,40.15154885627104
82,40.74148319760101
83,39.3588279135101
84,36.92909994423401
85,37.539295632365324
86,37.93748294928452
87,39.84068302819867
88,38.66679719276095
89,41.705142257438396
90,47.04388098218586
91,48.14230356951752
92,48.508694208195955
93,49.33341199090674
94,49.26411116340507
95,55.53362348666724
96,60.59526810180352
97,65.12001435846396
98,81.37135800534948
99,91.21055787225235
100,106.89983616981125
101,121.90791816778533
102,131.7102138727686
103,142.07016463350092
104,152.40903251203335
105,162.6767759937051
106,172.3637152540166
107,176.99814390515135
108,181.7626010924
109,188.0631339204586
110,193.72159943392654
111,198.6605222630297
112,199.53368719144038
113,203.49726429605198
114,207.14867187714992
115,208.1201433419284
116,207.6391166899508
117,209.02337551277418
118,208.7890873351069
119,206.18975697525852
120,198.6835640192049
121,197.990534046025
122,196.93412106307048
123,195.89396451635326
124,193.36029258896738
125,191.50923237905104
126,191.7840196879507
127,189.09763115680605
128,189.01650332852316
129,188.31890975075177
130,187.43444950072546
131,184.85817239950498
132,183.38627245632324
133,180.3846989009781
134,179.3636258191179
135,177.04616733847814
136,174.91540621802048
137,171.47582804680025
138,168.31331965559662
139,166.58777777030662
140,161.41399938153754
141,157.61983187996987
142,156.58508015227628
143,151.76917034272236
