,power_kW
0,289.83599196272104
1,283.98438361041326
2,274.2369165912402
3,277.35824860650825
4,251.59643237980328
5,254.144212314683
6,252.89382286450962
7,233.6154635112061
8,239.79356708594548
9,224.55242473748606
10,226.69601995773604
11,215.49238100970038
12,199.10077166663473
13,207.2333345649409
14,203.34169262938985
15,189.36979756831602
16,203.28494911987065
17,194.87422606661846
18,203.03637691738308
19,201.29355164898863
20,197.5775742833505
21,219.1207554047208
22,202.53226710106432
23,195.16011917346736
24,236.1341505378308
25,208.529913096283
26,197.23200289271017
27,204.262505962661
28,206.66038842751095
29,204.5563299575044
30,269.86911311869255
31,220.68264398953906
32,202.07209967459562
33,218.23870704169147
34,197.96270424878105
35,223.87380579696566
36,225.27758852538744
37,214.37747458817353
38,221.7042959818374
39,288.26046225127106
40,322.54422067219775
41,322.4667107801464
42,308.9232220821881
43,274.9126977961811
44,304.8247049656395
45,322.1156575884072
46,330.4249116984314
47,366.6249951343632
48,358.9086132276067
49,334.3533118022836
50,328.1039072749722
51,341.9070185264994
52,356.23041944436886
53,393.0638551003661
54,345.8634134017763
55,369.1568535702309
56,396.27093537998513
57,400.8860471883046
58,350.1301955342599
59,334.4430813471648
60,362.0644399708417
61,402.64763758191344
62,392.2772007106053
63,377.96412409272665
64,389.84349871435853
65,373.15244247849006
66,406.22279428036285
67,421.2722863291598
68,410.5938186680621
69,394.9743916063976
70,378.89005522927414
71,380.9279876685045
72,365.9344076495373
73,360.83842672714667
74,376.8038984133677
75,316.0539665074167
76,333.80971615044353
77,320.78458252861446
78,362.1751564099499
79,293.93749262871813
80,306.5024684176601
81,318.32479787361706
82,324.18154940931043
83,303.9919447553855
84,299.7644814024676
85,278.614702622303
86,300.94400942866855
87,289.75509019586605
88,249.93320357399367
89,272.7006296831337
90,279.44121241111156
91,262.8033211688204
92,237.13711530737163
93,264.7285415721298
94,259.4136782489744
95,229.16585012200764
96,231.2212867925946
97,232.16907594763302
98,274.4850317653405
99,282.1863827585797
100,295.0322980492631
101,284.2687312567158
102,316.8998100684065
103,333.7357916974306
104,326.0928624991626
105,337.03942600495304
106,325.5624771810671
107,366.5801457367352
108,354.5669314356694
109,355.26233570299473
110,336.4534229132189
111,333.0415805093106
112,354.29091148912755
113,353.32652159147875
114,332.03292376841364
115,338.3869234059657
116,356.4302670895791
117,367.44957757509974
118,342.60875173705983
119,362.07514487070546
120,326.4787499959499
121,316.14574691307547
122,320.6685396111268
123,312.0347897489719
124,321.45974286985427
125,321.0422321412858
126,323.6849409271344
127,300.79149531519874
128,317.5791011699172
129,298.18568576664967
130,296.3967251570947
131,319.9638124660637
132,291.06454078542566
133,283.7605334437759
134,291.1321231904619
135,279.77856881870963
136,272.8536582303698
137,284.78871979752535
138,265.8516259505785
139,271.65804883679107
140,269.97970956024847
141,263.51474216710426
142,260.6968860388079
143,235.96333252462733
