,power_kW
0,0.13937712777635386
1,0.13726749221313206
2,0.1315908632842368
3,0.14368578662105372
4,0.12939912261039635
5,0.14285279454940825
6,0.14495791488143187
7,0.13552664810178153
8,0.14583171579478693
9,0.13679003622200095
10,0.14030600858042122
11,0.12953517533945627
12,0.12114196359003539
13,0.13153859410197793
14,0.12860427166558513
15,0.11672192756078234
16,0.13263947145240432
17,0.12477136117903428
18,0.13731119682251774
19,0.13743092686557115
20,0.1325262219452192
21,0.15656967498262483
22,0.14040328936415356
23,0.13402493623032766
24,0.1778548328135463
25,0.14861201500794124
26,0.13757368288096775
27,0.14415669810369636
28,0.14865885597889986
29,0.14657487936074515
30,0.2124587975303508
31,0.16374071198074275
32,0.14526328611171685
33,0.16143074490663256
34,0.14140803836266996
35,0.1669468818016374
36,0.16889356823060628
37,0.15939677356212134
38,0.16769271336066735
39,0.23292949266776936
40,0.2673863341326776
41,0.2674623981379326
42,0.2539189094399743
43,0.22064261886819284
44,0.25055462603765133
45,0.2689468924240974
46,0.2772561465341216
47,0.3134562299700534
48,0.30531134790231196
49,0.28131745431368926
50,0.2748891812952163
51,0.2900778457874843
52,0.3053741878101517
53,0.3422076234661489
54,0.29500718176755913
55,0.3183006219360137
56,0.34541470374576794
57,0.3486652776626733
58,0.298211087662669
59,0.28571032811572544
60,0.31519248234335856
61,0.3557351456457182
62,0.34523569182365255
63,0.3314207247343933
64,0.34330009935602523
65,0.32839616030045976
66,0.36146651210233255
67,0.3765160041511295
68,0.3688201350885167
69,0.3532007080268521
70,0.33711637164972863
71,0.3407189953621072
72,0.3257659496518521
73,0.3206683289662039
74,0.33752938556824985
75,0.27674603206507664
76,0.2940333422941725
77,0.28100820867234344
78,0.32237502163196174
79,0.2540094892480363
80,0.26635639165734865
81,0.278173249017346
82,0.2834400662117095
83,0.2646331168418754
84,0.2628353814582336
85,0.24107540698993773
86,0.26300652647938405
87,0.24991440716766739
88,0.2112664063812327
89,0.2309954874256953
90,0.23239733142892569
91,0.21466101759930292
92,0.18862842109917569
93,0.21539512958122306
94,0.2101495670855693
95,0.1736322266353404
96,0.17062601869079108
97,0.16704906158916905
98,0.19311367375999106
99,0.1909758248863274
100,0.18813246187945187
101,0.16236081308893047
102,0.1851895961956379
103,0.1916656270639297
104,0.1736838299871292
105,0.17436265001124795
106,0.1531987619270505
107,0.1895820018315838
108,0.17280433034326936
109,0.16719920178253617
110,0.1427318234792924
111,0.134381058246281
112,0.15475722429768715
113,0.14982925729542673
114,0.12488425189126377
115,0.13026678006403727
116,0.14879115039962826
117,0.1584262020623256
118,0.13381966440195298
119,0.155885387895447
120,0.127795185976745
121,0.11815521286705048
122,0.12373441854805631
123,0.11614082523261861
124,0.12809945028088693
125,0.12953299976223479
126,0.13190092123918368
127,0.11169386415839272
128,0.128562597841394
129,0.1098667760158979
130,0.10896227565636925
131,0.13510564006655873
132,0.1076782683291024
133,0.10337583454279779
134,0.11176849737134406
135,0.10273240148023151
136,0.09793825201234928
137,0.11331289175072512
138,0.09753830629498192
139,0.10507027106648448
140,0.10856571017871094
141,0.10589491028713434
142,0.10411180588653164
143,0.08419416218190494
